,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,428.0
Anxiety,0.5559006211180124,0.9046931407942238,0.688650728222039,5540.0
Desire,0.0,0.0,0.0,108.0
Disgust,0.0,0.0,0.0,68.0
Fear,0.14285714285714285,0.004347826086956522,0.008438818565400845,920.0
Happiness,0.0,0.0,0.0,160.0
Relaxation,0.06666666666666667,0.002967359050445104,0.005681818181818181,1348.0
Sadness,0.17674418604651163,0.10644257703081232,0.13286713286713286,1428.0
accuracy,0.5172,0.5172,0.5172,0.5172
macro avg,0.1177710770860417,0.12730636287030472,0.10445481222954886,10000.0
weighted avg,0.3553375376763445,0.5172,0.40202821040736214,10000.0
