,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,172.0
Anxiety,0.8287165281625115,0.8100180505415162,0.81926061159288,2216.0
Desire,0.0,0.0,0.0,44.0
Disgust,0.0,0.0,0.0,28.0
Fear,0.0,0.0,0.0,368.0
Happiness,0.0,0.0,0.0,64.0
Relaxation,0.26474278544542035,0.3907407407407407,0.3156320119670905,540.0
Sadness,0.26640926640926643,0.4859154929577465,0.34413965087281795,568.0
accuracy,0.5705,0.5705,0.5705,0.5705
macro avg,0.1699835725021498,0.21083428553000044,0.18487903430409855,4000.0
weighted avg,0.5326793484672789,0.5705,0.5453485308619529,4000.0
